,bnds,time,member,lat,lat_bnds,lon,lon_bnds,time_bnds,member_id,gcm_institution,gcm_model,gcm_variant,rcm_institution,rcm_model,rcm_variant,mrro,crs
0,0,1970-01-01,0,42.3125,42.25,2.8125,2.75,1970-01-01,CCCma_CanESM2_r1i1p1_CLMcom_CCLM4-8-17_v1,CCCma,CanESM2,r1i1p1,CLMcom,CCLM4-8-17,v1,0.0546875,-2147483647
1,0,1970-01-01,1,42.3125,42.25,2.8125,2.75,1970-01-01,CNRM-CERFACS_CNRM-CM5_r1i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,CNRM-CERFACS,CNRM-CM5,r1i1p1,CLMcom-ETH,COSMO-crCLIM-v1-1,v1,0.7050781,-2147483647
2,0,1970-01-01,2,42.3125,42.25,2.8125,2.75,1970-01-01,CNRM-CERFACS_CNRM-CM5_r1i1p1_CNRM_ALADIN63_v2,CNRM-CERFACS,CNRM-CM5,r1i1p1,CNRM,ALADIN63,v2,2.3544922,-2147483647
3,0,1970-01-01,3,42.3125,42.25,2.8125,2.75,1970-01-01,CNRM-CERFACS_CNRM-CM5_r1i1p1_ICTP_RegCM4-6_v1,CNRM-CERFACS,CNRM-CM5,r1i1p1,ICTP,RegCM4-6,v1,0.046875,-2147483647
4,0,1970-01-01,4,42.3125,42.25,2.8125,2.75,1970-01-01,CNRM-CERFACS_CNRM-CM5_r1i1p1_MOHC_HadREM3-GA7-05_v2,CNRM-CERFACS,CNRM-CM5,r1i1p1,MOHC,HadREM3-GA7-05,v2,0.70214844,-2147483647
5,0,1970-01-01,5,42.3125,42.25,2.8125,2.75,1970-01-01,ICHEC_EC-EARTH_r12i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,ICHEC,EC-EARTH,r12i1p1,CLMcom-ETH,COSMO-crCLIM-v1-1,v1,0.59277344,-2147483647
6,0,1970-01-01,6,42.3125,42.25,2.8125,2.75,1970-01-01,ICHEC_EC-EARTH_r12i1p1_ICTP_RegCM4-6_v1,ICHEC,EC-EARTH,r12i1p1,ICTP,RegCM4-6,v1,0.4921875,-2147483647
7,0,1970-01-01,7,42.3125,42.25,2.8125,2.75,1970-01-01,ICHEC_EC-EARTH_r12i1p1_MOHC_HadREM3-GA7-05_v1,ICHEC,EC-EARTH,r12i1p1,MOHC,HadREM3-GA7-05,v1,0.80371094,-2147483647
8,0,1970-01-01,8,42.3125,42.25,2.8125,2.75,1970-01-01,ICHEC_EC-EARTH_r1i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,ICHEC,EC-EARTH,r1i1p1,CLMcom-ETH,COSMO-crCLIM-v1-1,v1,0.21582031,-2147483647
9,0,1970-01-01,9,42.3125,42.25,2.8125,2.75,1970-01-01,ICHEC_EC-EARTH_r3i1p1_CLMcom-ETH_COSMO-crCLIM-v1-1_v1,ICHEC,EC-EARTH,r3i1p1,CLMcom-ETH,COSMO-crCLIM-v1-1,v1,0.09472656,-2147483647
