time,mrro
2022-09-01,1.1333984420000003
2022-10-01,1.9335937180000002
2022-11-01,1.219335924
2022-12-01,2.575000082
2023-01-01,0.6158203104
2023-02-01,0.733593762
2023-03-01,0.547070312
2023-04-01,0.56425782
2023-05-01,1.0027343800000001
2023-06-01,1.4748046799999999
2023-07-01,0.6810546740000001
2023-08-01,0.39746094
2023-09-01,0.74414063
2023-10-01,2.001367254
2023-11-01,1.8416015399999999
2023-12-01,0.9400390639999999
2024-01-01,1.33066406
2024-02-01,1.571093748
2024-03-01,0.8425781279999999
2024-04-01,0.84609375
2024-05-01,0.901953124
2024-06-01,0.533984373
2024-07-01,0.36113280999999997
2024-08-01,0.204296876
2024-09-01,0.50429688
2024-10-01,0.697265622
2024-11-01,1.0537109519999999
2024-12-01,1.125585936
2025-01-01,0.482421871
2025-02-01,0.917187513
2025-03-01,0.723437498
2025-04-01,1.14433592
2025-05-01,0.520898434
2025-06-01,1.051171858
2025-07-01,0.320507806
2025-08-01,0.24121094000000004
2025-09-01,0.887499995
2025-10-01,1.752929682
2025-11-01,1.538671858
2025-12-01,0.43476562
2026-01-01,1.2576171839999999
2026-02-01,0.3919921972
2026-03-01,1.122656266
2026-04-01,1.309570316
2026-05-01,0.873828112
2026-06-01,1.782421872
2026-07-01,0.69257813
2026-08-01,0.24121093600000001
2026-09-01,0.374609378
2026-10-01,0.909375005
2026-11-01,0.697656246
2026-12-01,0.299023433
2027-01-01,0.9365234539999999
2027-02-01,1.7609374979999999
2027-03-01,1.5601562420000001
2027-04-01,1.3169922
2027-05-01,1.0087890720000001
2027-06-01,1.127929692
2027-07-01,0.39003906699999996
2027-08-01,0.320703125
2027-09-01,0.390234368
2027-10-01,0.31953125
2027-11-01,1.2249999939999998
2027-12-01,1.488476538
2028-01-01,0.835351567
2028-02-01,1.508984378
2028-03-01,1.271289063
2028-04-01,1.174414064
2028-05-01,0.859375018
2028-06-01,0.926562504
2028-07-01,0.42675780999999996
2028-08-01,0.6369140596
2028-09-01,2.3097655996
2028-10-01,0.255273436
2028-11-01,2.138867174
2028-12-01,0.525195306
2029-01-01,0.42656250040000004
2029-02-01,1.15957032
2029-03-01,1.0314453220000002
2029-04-01,0.7146484479999999
2029-05-01,0.7904296700000001
2029-06-01,0.393554682
2029-07-01,0.5296875076
2029-08-01,0.294531249
2029-09-01,0.551367184
2029-10-01,1.91347656
2029-11-01,2.095703162
2029-12-01,1.495507828
2030-01-01,0.7111328
