time,t
2006-01-01,3.366362230985916
2006-02-01,3.589101004084507
2006-03-01,3.946908023661972
2006-04-01,6.717168253521127
2006-05-01,10.437555025352113
2006-06-01,13.734003605633802
2006-07-01,16.423511767605635
2006-08-01,16.49972491549296
2006-09-01,14.098398999999999
2006-10-01,11.012117591549297
2006-11-01,7.031910201408451
2006-12-01,3.5221170759154927
2007-01-01,2.6197458150704227
2007-02-01,2.0855386228169013
2007-03-01,3.366238441690141
2007-04-01,6.169798101408451
2007-05-01,10.638988243661972
2007-06-01,14.250770232394366
2007-07-01,16.032405338028166
2007-08-01,16.44012711971831
2007-09-01,14.469644084507042
2007-10-01,10.819404708450705
2007-11-01,7.135178281690141
2007-12-01,4.672493937746479
2008-01-01,2.426056329577465
2008-02-01,2.831302268380282
2008-03-01,3.695917692957747
2008-04-01,6.748156892957747
2008-05-01,10.289433888732393
2008-06-01,13.55692947887324
2008-07-01,16.29364272535211
2008-08-01,16.4420115
2008-09-01,14.579390373239436
2008-10-01,11.085194781690141
2008-11-01,7.59401138028169
2008-12-01,4.584341979577465
2009-01-01,3.456027179859155
2009-02-01,2.376347933
2009-03-01,3.454156577183099
2009-04-01,6.614821705633803
2009-05-01,9.917583646478873
2009-06-01,13.749284746478873
2009-07-01,16.410610147887326
2009-08-01,16.764772218309858
2009-09-01,14.481238971830987
2009-10-01,11.174048169014085
2009-11-01,7.528787964788732
2009-12-01,4.606170215492957
2010-01-01,2.500302603450704
2010-02-01,2.7588853489859155
2010-03-01,3.1003383596197183
2010-04-01,6.386704990140845
2010-05-01,10.630309239436619
2010-06-01,14.686344669014085
2010-07-01,16.68902678169014
2010-08-01,16.730840056338028
2010-09-01,14.435368112676056
2010-10-01,11.063490316901408
2010-11-01,6.726067373239437
2010-12-01,4.754772785915493
2011-01-01,3.3527866376056337
2011-02-01,2.584672087887324
2011-03-01,3.990605753521127
2011-04-01,7.180650342253521
2011-05-01,10.445821395774647
2011-06-01,14.329981809859154
2011-07-01,16.54098814084507
2011-08-01,16.731816654929577
2011-09-01,14.388864471830987
2011-10-01,10.713041952112675
2011-11-01,7.569707284507042
2011-12-01,5.047328908450704
2012-01-01,3.8209589484507043
2012-02-01,3.37149261971831
2012-03-01,4.086625217746478
2012-04-01,6.402426273239437
2012-05-01,10.364904250704226
2012-06-01,13.992008725352113
2012-07-01,16.6521786971831
2012-08-01,16.672603985915494
2012-09-01,14.366733563380283
2012-10-01,11.002572035211267
2012-11-01,7.4318469492957755
2012-12-01,4.568785754929578
2013-01-01,3.17582252056338
2013-02-01,2.1234732556338027
2013-03-01,3.461776518309859
2013-04-01,6.225077038028169
2013-05-01,10.310711949295776
2013-06-01,14.166689626760563
2013-07-01,16.493232830985914
2013-08-01,16.792803732394365
2013-09-01,14.719740295774647
2013-10-01,11.082058760563381
2013-11-01,7.677803154929577
2013-12-01,4.615660757077465
2014-01-01,3.0772859795070424
2014-02-01,2.7222711316901407
2014-03-01,3.434033888028169
2014-04-01,6.468282352112676
2014-05-01,10.439370605633803
2014-06-01,14.192878007042253
2014-07-01,17.151986119718313
2014-08-01,17.162205640845073
2014-09-01,14.786806753521128
2014-10-01,11.739381612676057
2014-11-01,7.858054564788732
2014-12-01,4.724650636619718
2015-01-01,3.4491499732394364
2015-02-01,3.062293682816901
2015-03-01,3.8954115401408456
2015-04-01,6.4102250140845065
2015-05-01,9.987428535211269
2015-06-01,13.849361802816903
2015-07-01,16.489931781690142
2015-08-01,16.70404652112676
2015-09-01,14.443359422535211
2015-10-01,11.32278828169014
2015-11-01,7.1981046816901415
2015-12-01,4.965132591549295
2016-01-01,2.003135997746479
2016-02-01,2.3001210348169017
2016-03-01,3.8453042409859157
2016-04-01,6.4588881
2016-05-01,10.83673526056338
2016-06-01,14.64347216197183
2016-07-01,16.792322274647887
2016-08-01,16.43210831690141
2016-09-01,14.30355966197183
2016-10-01,11.28540385915493
2016-11-01,7.073806138028169
2016-12-01,4.004827789929577
2017-01-01,3.0791703346478876
2017-02-01,2.8740096688732395
2017-03-01,3.4360007784788733
2017-04-01,6.810876985915493
2017-05-01,10.587670516901408
2017-06-01,14.07215557746479
2017-07-01,16.525019253521126
2017-08-01,16.677541830985916
2017-09-01,14.787178126760564
2017-10-01,11.50306726197183
2017-11-01,8.166634532394365
2017-12-01,4.9087808140845075
2018-01-01,4.400005504788733
2018-02-01,3.4392880688732395
2018-03-01,3.6068854526760563
2018-04-01,6.616582308450704
2018-05-01,10.12411971830986
2018-06-01,14.18902678169014
2018-07-01,16.544976866197185
2018-08-01,17.18063654225352
2018-09-01,15.087092901408452
2018-10-01,12.053834795774648
2018-11-01,8.119085615492958
2018-12-01,4.828455112676056
2019-01-01,2.581962476338028
2019-02-01,3.505859376591549
2019-03-01,4.4644448647887325
2019-04-01,6.457430122535212
2019-05-01,10.754552681690141
2019-06-01,14.620062147887323
2019-07-01,16.89752973943662
2019-08-01,16.594850330985913
2019-09-01,14.473797929577463
2019-10-01,11.919124154929579
2019-11-01,7.80104258169014
2019-12-01,5.389868503943662
2020-01-01,3.650762004929578
2020-02-01,2.7689948341549293
2020-03-01,4.004525187323943
2020-04-01,7.210648649295775
2020-05-01,10.97575102112676
2020-06-01,14.598811626760563
2020-07-01,16.621630112676055
2020-08-01,16.90583734507042
2020-09-01,14.526683528169015
2020-10-01,11.117613909859156
2020-11-01,7.645865392957747
2020-12-01,5.262929136619719
2021-01-01,2.6575841762676053
2021-02-01,2.8733357168309857
2021-03-01,3.932520910704225
2021-04-01,6.402880176056338
2021-05-01,10.5311262
